"Label","Description","Modality","Measurement","Atlas","rsf.pipeline"
"T1Hier_thk_thm_eth_hn_rightcit168","Thalamus Habenular Nucleus","T1 hierarchical processing","geometry.thickness","CIT168",NA
"T1Hier_vol_bn_gp_gpe_leftdeep_cit168","Globus Pallidus External","T1 hierarchical processing","geometry.volume","CIT168",NA
"T1Hier_vol_bn_gp_gpe_rightdeep_cit168","Globus Pallidus External","T1 hierarchical processing","geometry.volume","CIT168",NA
"T1Hier_vol_bn_gp_gpi_leftdeep_cit168","Globus Pallidus Internal","T1 hierarchical processing","geometry.volume","CIT168",NA
"T1Hier_vol_bn_gp_gpi_rightdeep_cit168","Globus Pallidus Internal","T1 hierarchical processing","geometry.volume","CIT168",NA
"T1Hier_vol_bn_str_ca_leftdeep_cit168","Caudate Nucleus","T1 hierarchical processing","geometry.volume","CIT168",NA
"T1Hier_vol_bn_str_ca_rightdeep_cit168","Caudate Nucleus","T1 hierarchical processing","geometry.volume","CIT168",NA
"T1Hier_vol_bn_str_pu_leftdeep_cit168","Putamen","T1 hierarchical processing","geometry.volume","CIT168",NA
"T1Hier_vol_bn_str_pu_rightdeep_cit168","Putamen","T1 hierarchical processing","geometry.volume","CIT168",NA
"T1Hier_vol_mtg_rn_leftdeep_cit168","Red Nucleus","T1 hierarchical processing","geometry.volume","CIT168",NA
"T1Hier_vol_mtg_rn_rightdeep_cit168","Red Nucleus","T1 hierarchical processing","geometry.volume","CIT168",NA
"T1Hier_vol_mtg_sn_snc_leftdeep_cit168","Substantia Nigra Compacta","T1 hierarchical processing","geometry.volume","CIT168",NA
"T1Hier_vol_mtg_sn_snc_rightdeep_cit168","Substantia Nigra Compacta","T1 hierarchical processing","geometry.volume","CIT168",NA
"T1Hier_vol_mtg_sn_snr_leftdeep_cit168","Substantia Nigra Reticulata","T1 hierarchical processing","geometry.volume","CIT168",NA
"T1Hier_vol_mtg_sn_snr_rightdeep_cit168","Substantia Nigra Reticulata","T1 hierarchical processing","geometry.volume","CIT168",NA
"T1Hier_vol_referenceregion_leftdeep_cit168","Reference Region","T1 hierarchical processing","geometry.volume","CIT168",NA
"T1Hier_vol_referenceregion_rightdeep_cit168","Reference Region","T1 hierarchical processing","geometry.volume","CIT168",NA
"T1Hier_area_bn_gp_gpe_leftdeep_cit168","Globus Pallidus External","T1 hierarchical processing","geometry.area","CIT168",NA
"T1Hier_area_bn_gp_gpe_rightdeep_cit168","Globus Pallidus External","T1 hierarchical processing","geometry.area","CIT168",NA
"T1Hier_area_bn_gp_gpi_leftdeep_cit168","Globus Pallidus Internal","T1 hierarchical processing","geometry.area","CIT168",NA
"T1Hier_area_bn_gp_gpi_rightdeep_cit168","Globus Pallidus Internal","T1 hierarchical processing","geometry.area","CIT168",NA
"T1Hier_area_bn_str_ca_leftdeep_cit168","Caudate Nucleus","T1 hierarchical processing","geometry.area","CIT168",NA
"T1Hier_area_bn_str_ca_rightdeep_cit168","Caudate Nucleus","T1 hierarchical processing","geometry.area","CIT168",NA
"T1Hier_area_bn_str_pu_leftdeep_cit168","Putamen","T1 hierarchical processing","geometry.area","CIT168",NA
"T1Hier_area_bn_str_pu_rightdeep_cit168","Putamen","T1 hierarchical processing","geometry.area","CIT168",NA
"T1Hier_area_mtg_rn_leftdeep_cit168","Red Nucleus","T1 hierarchical processing","geometry.area","CIT168",NA
"T1Hier_area_mtg_rn_rightdeep_cit168","Red Nucleus","T1 hierarchical processing","geometry.area","CIT168",NA
"T1Hier_area_mtg_sn_snc_leftdeep_cit168","Substantia Nigra Compacta","T1 hierarchical processing","geometry.area","CIT168",NA
"T1Hier_area_mtg_sn_snc_rightdeep_cit168","Substantia Nigra Compacta","T1 hierarchical processing","geometry.area","CIT168",NA
"T1Hier_area_mtg_sn_snr_leftdeep_cit168","Substantia Nigra Reticulata","T1 hierarchical processing","geometry.area","CIT168",NA
"T1Hier_area_mtg_sn_snr_rightdeep_cit168","Substantia Nigra Reticulata","T1 hierarchical processing","geometry.area","CIT168",NA
"T1Hier_area_referenceregion_leftdeep_cit168","Reference Region","T1 hierarchical processing","geometry.area","CIT168",NA
"T1Hier_area_referenceregion_rightdeep_cit168","Reference Region","T1 hierarchical processing","geometry.area","CIT168",NA
"T1Hier_thk_bn_gp_gpe_leftdeep_cit168","Globus Pallidus External","T1 hierarchical processing","geometry.thickness","CIT168",NA
"T1Hier_thk_bn_gp_gpe_rightdeep_cit168","Globus Pallidus External","T1 hierarchical processing","geometry.thickness","CIT168",NA
"T1Hier_thk_bn_gp_gpi_leftdeep_cit168","Globus Pallidus Internal","T1 hierarchical processing","geometry.thickness","CIT168",NA
"T1Hier_thk_bn_gp_gpi_rightdeep_cit168","Globus Pallidus Internal","T1 hierarchical processing","geometry.thickness","CIT168",NA
"T1Hier_thk_bn_str_ca_leftdeep_cit168","Caudate Nucleus","T1 hierarchical processing","geometry.thickness","CIT168",NA
"T1Hier_thk_bn_str_ca_rightdeep_cit168","Caudate Nucleus","T1 hierarchical processing","geometry.thickness","CIT168",NA
"T1Hier_thk_bn_str_pu_leftdeep_cit168","Putamen","T1 hierarchical processing","geometry.thickness","CIT168",NA
"T1Hier_thk_bn_str_pu_rightdeep_cit168","Putamen","T1 hierarchical processing","geometry.thickness","CIT168",NA
"T1Hier_thk_mtg_rn_leftdeep_cit168","Red Nucleus","T1 hierarchical processing","geometry.thickness","CIT168",NA
"T1Hier_thk_mtg_rn_rightdeep_cit168","Red Nucleus","T1 hierarchical processing","geometry.thickness","CIT168",NA
"T1Hier_thk_mtg_sn_snc_leftdeep_cit168","Substantia Nigra Compacta","T1 hierarchical processing","geometry.thickness","CIT168",NA
"T1Hier_thk_mtg_sn_snc_rightdeep_cit168","Substantia Nigra Compacta","T1 hierarchical processing","geometry.thickness","CIT168",NA
"T1Hier_thk_mtg_sn_snr_leftdeep_cit168","Substantia Nigra Reticulata","T1 hierarchical processing","geometry.thickness","CIT168",NA
"T1Hier_thk_mtg_sn_snr_rightdeep_cit168","Substantia Nigra Reticulata","T1 hierarchical processing","geometry.thickness","CIT168",NA
"T1Hier_thk_referenceregion_leftdeep_cit168","Reference Region","T1 hierarchical processing","geometry.thickness","CIT168",NA
"T1Hier_thk_referenceregion_rightdeep_cit168","Reference Region","T1 hierarchical processing","geometry.thickness","CIT168",NA
"T1Hier_vol_mtg_sn_snc_leftsnseg","Substantia Nigra Compacta","T1 hierarchical processing","geometry.volume","ANTs",NA
"T1Hier_vol_mtg_sn_snc_rightsnseg","Substantia Nigra Compacta","T1 hierarchical processing","geometry.volume","ANTs",NA
"T1Hier_vol_mtg_sn_snr_leftsnseg","Substantia Nigra Reticulata","T1 hierarchical processing","geometry.volume","ANTs",NA
"T1Hier_vol_mtg_sn_snr_rightsnseg","Substantia Nigra Reticulata","T1 hierarchical processing","geometry.volume","ANTs",NA
"T1Hier_vol_referenceregion_leftsnseg","Reference Region","T1 hierarchical processing","geometry.volume","ANTs",NA
"T1Hier_vol_referenceregion_rightsnseg","Reference Region","T1 hierarchical processing","geometry.volume","ANTs",NA
"T1Hier_area_mtg_sn_snc_leftsnseg","Substantia Nigra Compacta","T1 hierarchical processing","geometry.area","ANTs",NA
"T1Hier_area_mtg_sn_snc_rightsnseg","Substantia Nigra Compacta","T1 hierarchical processing","geometry.area","ANTs",NA
"T1Hier_area_mtg_sn_snr_leftsnseg","Substantia Nigra Reticulata","T1 hierarchical processing","geometry.area","ANTs",NA
"T1Hier_area_mtg_sn_snr_rightsnseg","Substantia Nigra Reticulata","T1 hierarchical processing","geometry.area","ANTs",NA
"T1Hier_area_referenceregion_leftsnseg","Reference Region","T1 hierarchical processing","geometry.area","ANTs",NA
"T1Hier_area_referenceregion_rightsnseg","Reference Region","T1 hierarchical processing","geometry.area","ANTs",NA
"T1Hier_thk_mtg_sn_snc_leftsnseg","Substantia Nigra Compacta","T1 hierarchical processing","geometry.thickness","ANTs",NA
"T1Hier_thk_mtg_sn_snc_rightsnseg","Substantia Nigra Compacta","T1 hierarchical processing","geometry.thickness","ANTs",NA
"T1Hier_thk_mtg_sn_snr_leftsnseg","Substantia Nigra Reticulata","T1 hierarchical processing","geometry.thickness","ANTs",NA
"T1Hier_thk_mtg_sn_snr_rightsnseg","Substantia Nigra Reticulata","T1 hierarchical processing","geometry.thickness","ANTs",NA
"T1Hier_thk_referenceregion_leftsnseg","Reference Region","T1 hierarchical processing","geometry.thickness","ANTs",NA
"T1Hier_thk_referenceregion_rightsnseg","Reference Region","T1 hierarchical processing","geometry.thickness","ANTs",NA
"T1Hier_vol_cleanupbrainstem","Unknown Core: hier cleanupbrainstem","T1 hierarchical processing","geometry.volume","ANTs",NA
"T1Hier_vol_medullabrainstem","Unknown Core: hier medullabrainstem","T1 hierarchical processing","geometry.volume","ANTs",NA
"T1Hier_vol_midbrainbrainstem","Unknown Core: hier midbrainbrainstem","T1 hierarchical processing","geometry.volume","ANTs",NA
"T1Hier_vol_ponsbrainstem","Unknown Core: hier ponsbrainstem","T1 hierarchical processing","geometry.volume","ANTs",NA
"T1Hier_area_cleanupbrainstem","Unknown Core: hier cleanupbrainstem","T1 hierarchical processing","geometry.area","ANTs",NA
"T1Hier_area_medullabrainstem","Unknown Core: hier medullabrainstem","T1 hierarchical processing","geometry.area","ANTs",NA
"T1Hier_area_midbrainbrainstem","Unknown Core: hier midbrainbrainstem","T1 hierarchical processing","geometry.area","ANTs",NA
"T1Hier_area_ponsbrainstem","Unknown Core: hier ponsbrainstem","T1 hierarchical processing","geometry.area","ANTs",NA
"T1Hier_thk_cleanupbrainstem","Unknown Core: hier cleanupbrainstem","T1 hierarchical processing","geometry.thickness","ANTs",NA
"T1Hier_thk_medullabrainstem","Unknown Core: hier medullabrainstem","T1 hierarchical processing","geometry.thickness","ANTs",NA
"T1Hier_thk_midbrainbrainstem","Unknown Core: hier midbrainbrainstem","T1 hierarchical processing","geometry.thickness","ANTs",NA
"T1Hier_thk_ponsbrainstem","Unknown Core: hier ponsbrainstem","T1 hierarchical processing","geometry.thickness","ANTs",NA
"T1Hier_vol_l_crus_icerebellum","Cerebellum Crus I","T1 hierarchical processing","geometry.volume","ANTs",NA
"T1Hier_vol_l_crus_iicerebellum","Cerebellum","T1 hierarchical processing","geometry.volume","ANTs",NA
"T1Hier_vol_l_iiicerebellum","Cerebellum","T1 hierarchical processing","geometry.volume","ANTs",NA
"T1Hier_vol_l_ivcerebellum","Cerebellum","T1 hierarchical processing","geometry.volume","ANTs",NA
"T1Hier_vol_l_ixcerebellum","Cerebellum","T1 hierarchical processing","geometry.volume","ANTs",NA
"T1Hier_vol_l_i_iicerebellum","Cerebellum","T1 hierarchical processing","geometry.volume","ANTs",NA
"T1Hier_vol_l_vcerebellum","Cerebellum","T1 hierarchical processing","geometry.volume","ANTs",NA
"T1Hier_vol_l_vicerebellum","Cerebellum","T1 hierarchical processing","geometry.volume","ANTs",NA
"T1Hier_vol_l_viibcerebellum","Cerebellum","T1 hierarchical processing","geometry.volume","ANTs",NA
"T1Hier_vol_l_viiiacerebellum","Cerebellum","T1 hierarchical processing","geometry.volume","ANTs",NA
"T1Hier_vol_l_viiibcerebellum","Cerebellum","T1 hierarchical processing","geometry.volume","ANTs",NA
"T1Hier_vol_l_xcerebellum","Cerebellum","T1 hierarchical processing","geometry.volume","ANTs",NA
"T1Hier_vol_r_crus_icerebellum","Cerebellum Crus I","T1 hierarchical processing","geometry.volume","ANTs",NA
"T1Hier_vol_r_crus_iicerebellum","Cerebellum","T1 hierarchical processing","geometry.volume","ANTs",NA
"T1Hier_vol_r_iiicerebellum","Cerebellum","T1 hierarchical processing","geometry.volume","ANTs",NA
"T1Hier_vol_r_ivcerebellum","Cerebellum","T1 hierarchical processing","geometry.volume","ANTs",NA
"T1Hier_vol_r_ixcerebellum","Cerebellum","T1 hierarchical processing","geometry.volume","ANTs",NA
"T1Hier_vol_r_i_iicerebellum","Cerebellum","T1 hierarchical processing","geometry.volume","ANTs",NA
"T1Hier_vol_r_vcerebellum","Cerebellum","T1 hierarchical processing","geometry.volume","ANTs",NA
"T1Hier_vol_r_vicerebellum","Cerebellum","T1 hierarchical processing","geometry.volume","ANTs",NA
"T1Hier_vol_r_viibcerebellum","Cerebellum","T1 hierarchical processing","geometry.volume","ANTs",NA
"T1Hier_vol_r_viiiacerebellum","Cerebellum","T1 hierarchical processing","geometry.volume","ANTs",NA
"T1Hier_vol_r_viiibcerebellum","Cerebellum","T1 hierarchical processing","geometry.volume","ANTs",NA
"T1Hier_vol_r_xcerebellum","Cerebellum","T1 hierarchical processing","geometry.volume","ANTs",NA
"T1Hier_area_l_crus_icerebellum","Cerebellum Crus I","T1 hierarchical processing","geometry.area","ANTs",NA
"T1Hier_area_l_crus_iicerebellum","Cerebellum","T1 hierarchical processing","geometry.area","ANTs",NA
"T1Hier_area_l_iiicerebellum","Cerebellum","T1 hierarchical processing","geometry.area","ANTs",NA
"T1Hier_area_l_ivcerebellum","Cerebellum","T1 hierarchical processing","geometry.area","ANTs",NA
"T1Hier_area_l_ixcerebellum","Cerebellum","T1 hierarchical processing","geometry.area","ANTs",NA
"T1Hier_area_l_i_iicerebellum","Cerebellum","T1 hierarchical processing","geometry.area","ANTs",NA
"T1Hier_area_l_vcerebellum","Cerebellum","T1 hierarchical processing","geometry.area","ANTs",NA
"T1Hier_area_l_vicerebellum","Cerebellum","T1 hierarchical processing","geometry.area","ANTs",NA
"T1Hier_area_l_viibcerebellum","Cerebellum","T1 hierarchical processing","geometry.area","ANTs",NA
"T1Hier_area_l_viiiacerebellum","Cerebellum","T1 hierarchical processing","geometry.area","ANTs",NA
"T1Hier_area_l_viiibcerebellum","Cerebellum","T1 hierarchical processing","geometry.area","ANTs",NA
"T1Hier_area_l_xcerebellum","Cerebellum","T1 hierarchical processing","geometry.area","ANTs",NA
"T1Hier_area_r_crus_icerebellum","Cerebellum Crus I","T1 hierarchical processing","geometry.area","ANTs",NA
"T1Hier_area_r_crus_iicerebellum","Cerebellum","T1 hierarchical processing","geometry.area","ANTs",NA
"T1Hier_area_r_iiicerebellum","Cerebellum","T1 hierarchical processing","geometry.area","ANTs",NA
"T1Hier_area_r_ivcerebellum","Cerebellum","T1 hierarchical processing","geometry.area","ANTs",NA
"T1Hier_area_r_ixcerebellum","Cerebellum","T1 hierarchical processing","geometry.area","ANTs",NA
"T1Hier_area_r_i_iicerebellum","Cerebellum","T1 hierarchical processing","geometry.area","ANTs",NA
"T1Hier_area_r_vcerebellum","Cerebellum","T1 hierarchical processing","geometry.area","ANTs",NA
"T1Hier_area_r_vicerebellum","Cerebellum","T1 hierarchical processing","geometry.area","ANTs",NA
"T1Hier_area_r_viibcerebellum","Cerebellum","T1 hierarchical processing","geometry.area","ANTs",NA
"T1Hier_area_r_viiiacerebellum","Cerebellum","T1 hierarchical processing","geometry.area","ANTs",NA
"T1Hier_area_r_viiibcerebellum","Cerebellum","T1 hierarchical processing","geometry.area","ANTs",NA
"T1Hier_area_r_xcerebellum","Cerebellum","T1 hierarchical processing","geometry.area","ANTs",NA
"T1Hier_thk_l_crus_icerebellum","Cerebellum Crus I","T1 hierarchical processing","geometry.thickness","ANTs",NA
"T1Hier_thk_l_crus_iicerebellum","Cerebellum","T1 hierarchical processing","geometry.thickness","ANTs",NA
"T1Hier_thk_l_iiicerebellum","Cerebellum","T1 hierarchical processing","geometry.thickness","ANTs",NA
"T1Hier_thk_l_ivcerebellum","Cerebellum","T1 hierarchical processing","geometry.thickness","ANTs",NA
"T1Hier_thk_l_ixcerebellum","Cerebellum","T1 hierarchical processing","geometry.thickness","ANTs",NA
"T1Hier_thk_l_i_iicerebellum","Cerebellum","T1 hierarchical processing","geometry.thickness","ANTs",NA
"T1Hier_thk_l_vcerebellum","Cerebellum","T1 hierarchical processing","geometry.thickness","ANTs",NA
"T1Hier_thk_l_vicerebellum","Cerebellum","T1 hierarchical processing","geometry.thickness","ANTs",NA
"T1Hier_thk_l_viibcerebellum","Cerebellum","T1 hierarchical processing","geometry.thickness","ANTs",NA
"T1Hier_thk_l_viiiacerebellum","Cerebellum","T1 hierarchical processing","geometry.thickness","ANTs",NA
"T1Hier_thk_l_viiibcerebellum","Cerebellum","T1 hierarchical processing","geometry.thickness","ANTs",NA
"T1Hier_thk_l_xcerebellum","Cerebellum","T1 hierarchical processing","geometry.thickness","ANTs",NA
"T1Hier_thk_r_crus_icerebellum","Cerebellum Crus I","T1 hierarchical processing","geometry.thickness","ANTs",NA
"T1Hier_thk_r_crus_iicerebellum","Cerebellum","T1 hierarchical processing","geometry.thickness","ANTs",NA
"T1Hier_thk_r_iiicerebellum","Cerebellum","T1 hierarchical processing","geometry.thickness","ANTs",NA
"T1Hier_thk_r_ivcerebellum","Cerebellum","T1 hierarchical processing","geometry.thickness","ANTs",NA
"T1Hier_thk_r_ixcerebellum","Cerebellum","T1 hierarchical processing","geometry.thickness","ANTs",NA
"T1Hier_thk_r_i_iicerebellum","Cerebellum","T1 hierarchical processing","geometry.thickness","ANTs",NA
"T1Hier_thk_r_vcerebellum","Cerebellum","T1 hierarchical processing","geometry.thickness","ANTs",NA
"T1Hier_thk_r_vicerebellum","Cerebellum","T1 hierarchical processing","geometry.thickness","ANTs",NA
"T1Hier_thk_r_viibcerebellum","Cerebellum","T1 hierarchical processing","geometry.thickness","ANTs",NA
"T1Hier_thk_r_viiiacerebellum","Cerebellum","T1 hierarchical processing","geometry.thickness","ANTs",NA
"T1Hier_thk_r_viiibcerebellum","Cerebellum","T1 hierarchical processing","geometry.thickness","ANTs",NA
"T1Hier_thk_r_xcerebellum","Cerebellum","T1 hierarchical processing","geometry.thickness","ANTs",NA
"T1Hier_RandBasisProj01","Unknown Core: hier randbasisproj01","T1 hierarchical processing","Unknown","ANTs",NA
"T1Hier_RandBasisProj02","Unknown Core: hier randbasisproj02","T1 hierarchical processing","Unknown","ANTs",NA
"T1Hier_RandBasisProj03","Unknown Core: hier randbasisproj03","T1 hierarchical processing","Unknown","ANTs",NA
"T1Hier_RandBasisProj04","Unknown Core: hier randbasisproj04","T1 hierarchical processing","Unknown","ANTs",NA
"T1Hier_RandBasisProj05","Unknown Core: hier randbasisproj05","T1 hierarchical processing","Unknown","ANTs",NA
"T1Hier_RandBasisProj06","Unknown Core: hier randbasisproj06","T1 hierarchical processing","Unknown","ANTs",NA
"T1Hier_RandBasisProj07","Unknown Core: hier randbasisproj07","T1 hierarchical processing","Unknown","ANTs",NA
"T1Hier_RandBasisProj08","Unknown Core: hier randbasisproj08","T1 hierarchical processing","Unknown","ANTs",NA
"T1Hier_RandBasisProj09","Unknown Core: hier randbasisproj09","T1 hierarchical processing","Unknown","ANTs",NA
"T1Hier_RandBasisProj10","Unknown Core: hier randbasisproj10","T1 hierarchical processing","Unknown","ANTs",NA
"T1Hier_RandBasisProjPos01","Unknown Core: hier randbasisprojpos01","T1 hierarchical processing","Unknown","ANTs",NA
"T1Hier_RandBasisProjPos02","Unknown Core: hier randbasisprojpos02","T1 hierarchical processing","Unknown","ANTs",NA
"T1Hier_RandBasisProjPos03","Unknown Core: hier randbasisprojpos03","T1 hierarchical processing","Unknown","ANTs",NA
"T1Hier_RandBasisProjPos04","Unknown Core: hier randbasisprojpos04","T1 hierarchical processing","Unknown","ANTs",NA
"T1Hier_RandBasisProjPos05","Unknown Core: hier randbasisprojpos05","T1 hierarchical processing","Unknown","ANTs",NA
"T1Hier_RandBasisProjPos06","Unknown Core: hier randbasisprojpos06","T1 hierarchical processing","Unknown","ANTs",NA
"T1Hier_RandBasisProjPos07","Unknown Core: hier randbasisprojpos07","T1 hierarchical processing","Unknown","ANTs",NA
"T1Hier_RandBasisProjPos08","Unknown Core: hier randbasisprojpos08","T1 hierarchical processing","Unknown","ANTs",NA
"T1Hier_RandBasisProjPos09","Unknown Core: hier randbasisprojpos09","T1 hierarchical processing","Unknown","ANTs",NA
"T1Hier_RandBasisProjPos10","Unknown Core: hier randbasisprojpos10","T1 hierarchical processing","Unknown","ANTs",NA
"T1Hier_loop_outlier_probability","Unknown Core: hier loop outlier probability","T1 hierarchical processing","Unknown","ANTs",NA
"T1Hier_mhdist","Unknown Core: hier mhdist","T1 hierarchical processing","Unknown","ANTs",NA
"T1Hier_templateL1","Unknown Core: hier templatel1","T1 hierarchical processing","Unknown","ANTs",NA
"T1Hier_evratio","Unknown Core: hier evratio","T1 hierarchical processing","Unknown","ANTs",NA
"T1Hier_resnetGrade","Unknown Core: hier resnetgrade","T1 hierarchical processing","Unknown","ANTs",NA
"T1w_mean_background","Background Signal","T1 DiReCT thickness processing","Mean Intensity","ANTs",NA
"T1w_mean_left_caudal_anterior_cingulate","Caudal Anterior Cingulate","T1 DiReCT thickness processing","Mean Intensity","ANTs",NA
"T1w_mean_left_caudal_middle_frontal","Caudal Middle Frontal Gyrus","T1 DiReCT thickness processing","Mean Intensity","ANTs",NA
"T1w_mean_left_cuneus","Cuneus","T1 DiReCT thickness processing","Mean Intensity","ANTs",NA
"T1w_mean_left_entorhinal","Entorhinal Cortex","T1 DiReCT thickness processing","Mean Intensity","ANTs",NA
"T1w_mean_left_fusiform","Fusiform Gyrus","T1 DiReCT thickness processing","Mean Intensity","ANTs",NA
"T1w_mean_left_inferior_parietal","Inferior Parietal Lobule","T1 DiReCT thickness processing","Mean Intensity","ANTs",NA
"T1w_mean_left_inferior_temporal","Inferior Temporal Gyrus","T1 DiReCT thickness processing","Mean Intensity","ANTs",NA
"T1w_mean_left_insula","Insula","T1 DiReCT thickness processing","Mean Intensity","ANTs",NA
"T1w_mean_left_isthmus_cingulate","Isthmus Cingulate","T1 DiReCT thickness processing","Mean Intensity","ANTs",NA
"T1w_mean_left_lateral_occipital","Lateral Occipital Cortex","T1 DiReCT thickness processing","Mean Intensity","ANTs",NA
"T1w_mean_left_lateral_orbitofrontal","Lateral Orbitofrontal Cortex","T1 DiReCT thickness processing","Mean Intensity","ANTs",NA
"T1w_mean_left_lingual","Lingual Gyrus","T1 DiReCT thickness processing","Mean Intensity","ANTs",NA
"T1w_mean_left_medial_orbitofrontal","Medial Orbitofrontal Cortex","T1 DiReCT thickness processing","Mean Intensity","ANTs",NA
"T1w_mean_left_middle_temporal","Middle Temporal Gyrus","T1 DiReCT thickness processing","Mean Intensity","ANTs",NA
"T1w_mean_left_paracentral","Paracentral Cortex","T1 DiReCT thickness processing","Mean Intensity","ANTs",NA
"T1w_mean_left_parahippocampal","Parahippocampal Gyrus","T1 DiReCT thickness processing","Mean Intensity","ANTs",NA
"T1w_mean_left_pars_opercularis","Pars Opercularis","T1 DiReCT thickness processing","Mean Intensity","ANTs",NA
"T1w_mean_left_pars_orbitalis","Pars Orbitalis","T1 DiReCT thickness processing","Mean Intensity","ANTs",NA
"T1w_mean_left_pars_triangularis","Pars Triangularis","T1 DiReCT thickness processing","Mean Intensity","ANTs",NA
"T1w_mean_left_pericalcarine","Pericalcarine Cortex","T1 DiReCT thickness processing","Mean Intensity","ANTs",NA
"T1w_mean_left_postcentral","Postcentral Gyrus","T1 DiReCT thickness processing","Mean Intensity","ANTs",NA
"T1w_mean_left_posterior_cingulate","Posterior Cingulate","T1 DiReCT thickness processing","Mean Intensity","ANTs",NA
"T1w_mean_left_precentral","Precentral Gyrus","T1 DiReCT thickness processing","Mean Intensity","ANTs",NA
"T1w_mean_left_precuneus","Precuneus","T1 DiReCT thickness processing","Mean Intensity","ANTs",NA
"T1w_mean_left_rostral_anterior_cingulate","Rostral Anterior Cingulate","T1 DiReCT thickness processing","Mean Intensity","ANTs",NA
"T1w_mean_left_rostral_middle_frontal","Rostral Middle Frontal Gyrus","T1 DiReCT thickness processing","Mean Intensity","ANTs",NA
"T1w_mean_left_superior_frontal","Superior Frontal Gyrus","T1 DiReCT thickness processing","Mean Intensity","ANTs",NA
"T1w_mean_left_superior_parietal","Superior Parietal Lobule","T1 DiReCT thickness processing","Mean Intensity","ANTs",NA
"T1w_mean_left_superior_temporal","Superior Temporal Gyrus","T1 DiReCT thickness processing","Mean Intensity","ANTs",NA
"T1w_mean_left_supramarginal","Supramarginal Gyrus","T1 DiReCT thickness processing","Mean Intensity","ANTs",NA
"T1w_mean_left_transverse_temporal","Transverse Temporal Gyrus","T1 DiReCT thickness processing","Mean Intensity","ANTs",NA
"T1w_mean_right_caudal_anterior_cingulate","Caudal Anterior Cingulate","T1 DiReCT thickness processing","Mean Intensity","ANTs",NA
"T1w_mean_right_caudal_middle_frontal","Caudal Middle Frontal Gyrus","T1 DiReCT thickness processing","Mean Intensity","ANTs",NA
"T1w_mean_right_cuneus","Cuneus","T1 DiReCT thickness processing","Mean Intensity","ANTs",NA
"T1w_mean_right_entorhinal","Entorhinal Cortex","T1 DiReCT thickness processing","Mean Intensity","ANTs",NA
"T1w_mean_right_fusiform","Fusiform Gyrus","T1 DiReCT thickness processing","Mean Intensity","ANTs",NA
"T1w_mean_right_inferior_parietal","Inferior Parietal Lobule","T1 DiReCT thickness processing","Mean Intensity","ANTs",NA
"T1w_mean_right_inferior_temporal","Inferior Temporal Gyrus","T1 DiReCT thickness processing","Mean Intensity","ANTs",NA
"T1w_mean_right_insula","Insula","T1 DiReCT thickness processing","Mean Intensity","ANTs",NA
"T1w_mean_right_isthmus_cingulate","Isthmus Cingulate","T1 DiReCT thickness processing","Mean Intensity","ANTs",NA
"T1w_mean_right_lateral_occipital","Lateral Occipital Cortex","T1 DiReCT thickness processing","Mean Intensity","ANTs",NA
"T1w_mean_right_lateral_orbitofrontal","Lateral Orbitofrontal Cortex","T1 DiReCT thickness processing","Mean Intensity","ANTs",NA
"T1w_mean_right_lingual","Lingual Gyrus","T1 DiReCT thickness processing","Mean Intensity","ANTs",NA
"T1w_mean_right_medial_orbitofrontal","Medial Orbitofrontal Cortex","T1 DiReCT thickness processing","Mean Intensity","ANTs",NA
"T1w_mean_right_middle_temporal","Middle Temporal Gyrus","T1 DiReCT thickness processing","Mean Intensity","ANTs",NA
"T1w_mean_right_paracentral","Paracentral Cortex","T1 DiReCT thickness processing","Mean Intensity","ANTs",NA
"T1w_mean_right_parahippocampal","Parahippocampal Gyrus","T1 DiReCT thickness processing","Mean Intensity","ANTs",NA
"T1w_mean_right_pars_opercularis","Pars Opercularis","T1 DiReCT thickness processing","Mean Intensity","ANTs",NA
"T1w_mean_right_pars_orbitalis","Pars Orbitalis","T1 DiReCT thickness processing","Mean Intensity","ANTs",NA
"T1w_mean_right_pars_triangularis","Pars Triangularis","T1 DiReCT thickness processing","Mean Intensity","ANTs",NA
"T1w_mean_right_pericalcarine","Pericalcarine Cortex","T1 DiReCT thickness processing","Mean Intensity","ANTs",NA
"T1w_mean_right_postcentral","Postcentral Gyrus","T1 DiReCT thickness processing","Mean Intensity","ANTs",NA
"T1w_mean_right_posterior_cingulate","Posterior Cingulate","T1 DiReCT thickness processing","Mean Intensity","ANTs",NA
"T1w_mean_right_precentral","Precentral Gyrus","T1 DiReCT thickness processing","Mean Intensity","ANTs",NA
"T1w_mean_right_precuneus","Precuneus","T1 DiReCT thickness processing","Mean Intensity","ANTs",NA
"T1w_mean_right_rostral_anterior_cingulate","Rostral Anterior Cingulate","T1 DiReCT thickness processing","Mean Intensity","ANTs",NA
"T1w_mean_right_rostral_middle_frontal","Rostral Middle Frontal Gyrus","T1 DiReCT thickness processing","Mean Intensity","ANTs",NA
"T1w_mean_right_superior_frontal","Superior Frontal Gyrus","T1 DiReCT thickness processing","Mean Intensity","ANTs",NA
"T1w_mean_right_superior_parietal","Superior Parietal Lobule","T1 DiReCT thickness processing","Mean Intensity","ANTs",NA
"T1w_mean_right_superior_temporal","Superior Temporal Gyrus","T1 DiReCT thickness processing","Mean Intensity","ANTs",NA
"T1w_mean_right_supramarginal","Supramarginal Gyrus","T1 DiReCT thickness processing","Mean Intensity","ANTs",NA
